PuzzleId,Rating,PGN,Solution,FEN,Moves,principal_variation,solved_by_layer
05nzJ,1869,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 cxd4 5. cxd4 Nc6 6. Nf3 Qb6 7. Bd3 Bd7 8. Bc2 Nb4 9. Nc3 Nxc2+ 10. Qxc2 Rc8 11. O-O Bb4 12. Bd2 Bb5 13. Rfc1 Ne7 14. a3 Bxc3 15. Bxc3 Nf5 16. Qd2 O-O 17. g4 Ne7 18. Bb4 Rfe8 19. Rxc8 Nxc8 20. Rc1 Bc6 21. Bc5 Qd8 22. Kg2 a6 23. Bb4 f6 24. h3 f5 25. gxf5 exf5 26. Qf4 g6 27. Rg1 Nb6 28. b3 Nd7 29. Ng5 h6 30. Nf3 a5 31. Bd6 Nf8 32. Qxh6 Re6 33. Ng5 Rxd6 34. exd6 Qxd6 35. a4 b5 36. axb5 Bxb5 37. Nf3 Qb4 38. Qe3 Bd7 39. Ne5 Qe7 40. Kh1 Be8 41. Qf3 Qe6 42. h4 Nd7 43. Re1 Qb6 44. Qe3 Nxe5 45. Qxe5 Bf7 46. Qe3 Qf6 47. Qf4 Kg7 48. Kg2 Qb6 49. Re3 Qf6 50. Rg3 Kh7 51. Rc3 Qb6 52. Qe3 Qf6 53. Kg3 Qd6+ 54. Qe5 Qb4 55. Re3 Kg8 56. Qe7 Qxd4 57. Qd8+ Kg7,Qxa5 f4+ Kf3 fxe3,3Q4/5bk1/6p1/p2p1p2/3q3P/1P2R1K1/5P2/8 w - - 2 58,d8a5 f5f4 g3f3 f4e3,"['f5f4', 'g3f3', 'f4e3']","{0: False, 1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
05y4s,1132,1. d4 Nf6 2. Bf4 g6 3. Nf3 Bg7 4. e3 O-O 5. Bd3 d6 6. O-O Nbd7 7. Nbd2 e5 8. dxe5 dxe5 9. Nxe5 Nd5 10. Nxd7 Qxd7 11. c3 Nxf4 12. Bc2 Nxg2 13. Kxg2 Qh3+ 14. Kh1 Be5 15. Nf3 Bg4 16. Nxe5 Bxd1 17. Raxd1 Rfe8 18. Nd7 Rad8 19. Nf6+ Kg7 20. Nxe8+ Rxe8 21. Rg1 Qf3+ 22. Rg2 Qe2 23. Bb3 Qxb2 24. Rd7 Qb1+ 25. Rg1 Qe4+ 26. Rg2 Re7 27. Rxe7 Qxe7 28. h3 Qe4 29. Kh2 Qe5+ 30. Rg3 Qxc3 31. Rf3 Qe5+ 32. Kg2 f5 33. Rf4 b6 34. Rd4 Kf6 35. Rd7,h5 Rf7+ Kg5 f4+ Qxf4 exf4+,8/p1pR3p/1p3kp1/4qp2/8/1B2P2P/P4PK1/8 b - - 3 35,h7h5 d7f7 f6g5 f2f4 e5f4 e3f4,"['d7f7', 'f6g5', 'f2f4', 'e5f4', 'e3f4']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True}"
05ya7,1412,1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 Nc6 5. Nf3 Nf6 6. O-O Bg4 7. Nc3 e6 8. d3 Be7 9. Bg5 h6 10. Bxf6 Bxf6 11. h3 Bh5 12. Re1 O-O 13. Qd2 d4 14. Ne4 Be7 15. Qf4 Bg6 16. a3 Re8 17. Ne5 Nxe5 18. Qxe5 Qb6 19. Qg3 f5 20. Nd2 Bf7 21. f3 Bd6 22. Qf2 e5 23. Nc4 Bxc4 24. Bxc4+ Kf8 25. Bb3 g5 26. h4 Kg7 27. hxg5 hxg5 28. g4 f4 29. Qe2 Qc7 30. Qe4 Rh8 31. Kf2 Rh2+ 32. Kg1 Rh6,Re2 Rah8 Rg2 Rh1+ Kf2 Rxa1,r7/ppq3k1/3b3r/4p1p1/3pQpP1/PB1P1P2/1PP5/R3R1K1 w - - 8 33,e1e2 a8h8 e2g2 h6h1 g1f2 h1a1,"['a8h8', 'e2g2', 'h6h1', 'g1f2', 'h1a1']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True}"
065V8,888,1. d4 c5 2. d5 d6 3. e4 e5 4. c4 f5 5. f3 f4 6. Nc3 Qh4+ 7. Kd2 a6 8. Qe2 Bd7 9. b3 b5 10. Qe1 Qd8 11. Bb2 b4 12. Nce2 Nf6 13. g4 g5 14. h4 gxh4 15. Qxh4 Be7 16. Qf2 Bxg4,fxg4 Nxe4+ Kc2 Nxf2,rn1qk2r/4b2p/p2p1n2/2pPp3/1pP1Ppb1/1P3P2/PB1KNQ2/R4BNR w kq - 0 17,f3g4 f6e4 d2c2 e4f2,"['f6e4', 'd2c2', 'e4f2']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True}"
069rS,895,1. c4 e5 2. Nc3 b6 3. Nf3 d6 4. e4 Bb7 5. d3 Nc6 6. Be3 Qd7 7. a3 g6 8. Nd5 f5 9. Bg5 Bg7 10. b4 h6 11. Be3 fxe4 12. dxe4 Nge7 13. Qd2 Nxd5 14. exd5 Ne7 15. Bd3 Nf5 16. Bxf5 gxf5 17. Nh4 f4 18. Ng6 fxe3 19. Qxe3 Rg8 20. f4 O-O-O 21. f5,Qxf5 Ne7+ Kb8 Nxf5,2kr2r1/pbpq2b1/1p1p2Np/3PpP2/1PP5/P3Q3/6PP/R3K2R b KQ - 0 21,d7f5 g6e7 c8b8 e7f5,"['g6e7', 'c8b8', 'e7f5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
06low,1135,1. e4 Nc6 2. d4 d5 3. e5 Bf5 4. Bd3 Nxd4 5. c3 Bxd3 6. cxd4 Bg6 7. h4 h6 8. h5 Bh7 9. Nc3 e6 10. Nf3,Bb4 Qa4+ Qd7 Qxb4,r2qkbnr/ppp2ppb/4p2p/3pP2P/3P4/2N2N2/PP3PP1/R1BQK2R b KQkq - 1 10,f8b4 d1a4 d8d7 a4b4,"['d1a4', 'd8d7', 'a4b4']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
07YxS,1233,1. d4 Nf6 2. Bf4 e6 3. e3 b6 4. c3 Bb7 5. Nf3 d5 6. Bd3 Bd6 7. Ne5 O-O 8. Nd2 Nbd7 9. h4 Ne4 10. f3 Nxd2 11. Qxd2 f6 12. Nxd7 Qxd7 13. e4 dxe4 14. fxe4 e5 15. dxe5 fxe5 16. Bg5 Qg4 17. Be2 Qxe4 18. O-O-O Rf2 19. Bc4+ Qxc4 20. Qxf2 Qxa2 21. Rhf1 Qa1+ 22. Kc2 Qa4+ 23. Kc1 Be4 24. Qf7+ Kh8,Rxd6 Qc2#,r6k/p1p2Qpp/1p1b4/4p1B1/q3b2P/2P5/1P4P1/2KR1R2 w - - 8 25,d1d6 a4c2,['a4c2'],"{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: True, 14: False, 15: True}"
07ZwS,1119,1. e4 e5 2. Nc3 d6 3. Nf3 h6 4. d4 exd4 5. Qxd4 Nc6 6. Qd1 Bg4 7. h3 Bxf3 8. Qxf3 Qf6 9. Qxf6 Nxf6 10. Bd3 Be7 11. Be3 Ne5 12. f4 Nc6 13. O-O-O O-O-O 14. Bb5 Nb8 15. Bd3 a6 16. a4 Nfd7 17. Nd5 Bh4 18. g3,Bxg3 Ne7#,1nkr3r/1ppn1pp1/p2p3p/3N4/P3PP1b/3BB1PP/1PP5/2KR3R b - - 0 18,h4g3 d5e7,['d5e7'],"{0: True, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False, 13: False, 14: False, 15: True}"
07zIu,1098,1. c4 Nf6 2. Nc3 e6 3. a3 c5 4. g3 Nc6 5. Bg2 Be7 6. Nf3 Qc7 7. O-O a6 8. d4 d5 9. cxd5 exd5 10. dxc5 Bxc5 11. Nxd5 Nxd5 12. Qxd5 Be7 13. Bf4 Qd7 14. Qb3 O-O 15. Rad1 Qe6 16. Qc2 Bf6,Nd4 Nxd4 Rxd4 Bxd4,r1b2rk1/1p3ppp/p1n1qb2/8/5B2/P4NP1/1PQ1PPBP/3R1RK1 w - - 9 17,f3d4 c6d4 d1d4 f6d4,"['c6d4', 'd1d4', 'f6d4']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
07zZk,1500,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 cxd4 7. cxd4 Nge7 8. Bd3 Nf5 9. Bxf5 exf5 10. Nc3 Be6 11. O-O Be7 12. Na4 Qd8 13. Nc5 b6 14. Na6 Qc8 15. Qd3 Qb7 16. b4 O-O 17. Bb2 Rac8 18. Rac1 Rfd8 19. Rc3 Nb8 20. Nxb8 Qxb8 21. Rfc1 Rxc3 22. Rxc3 Rc8 23. h3 Rc4 24. Nd2 Rc7 25. Qc2 Rxc3 26. Qxc3 Qc8 27. Nb1 Bg5 28. a4 Qxc3 29. Bxc3 Bd7 30. a5 bxa5 31. bxa5 a6 32. Bb4 Bd8 33. Nc3 Bc6 34. Kh2 g6 35. Kg3 Kg7 36. h4 Kh6 37. Ne2,Bb5 Bf8+ Kh5 Nf4#,3b4/5p1p/p1b3pk/P2pPp2/1B1P3P/6K1/4NPP1/8 b - - 2 37,c6b5 b4f8 h6h5 e2f4,"['b4f8', 'h6h5', 'e2f4']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True}"
07zsM,488,1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Be7 5. e3 c6 6. Nf3 O-O 7. Bd3 h6 8. Bh4 Nbd7 9. Qc2 Re8 10. O-O-O a6 11. Ne5 Nxe5 12. dxe5 Nd7 13. Bxe7 Qxe7 14. f4 b5 15. cxd5 cxd5 16. g4 Bb7 17. Rhg1 b4 18. g5 h5 19. g6 f5 20. Qe2 bxc3 21. Qxh5 Qb4 22. Qh7+ Kf8 23. Qh8+ Ke7 24. Qxg7+ Kd8 25. Rg2 d4 26. Rc2 Rc8 27. Kb1 Bd5 28. Bxf5 Qa4 29. b3 Bxb3 30. Rxd4 Bxa2+ 31. Kc1 Qa3+ 32. Kd1,Bb3 Qxd7#,2rkr3/3n2Q1/p3p1P1/4PB2/3R1P2/q1p1P3/b1R4P/3K4 b - - 3 32,a2b3 g7d7,['g7d7'],"{0: False, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
080nh,1089,1. e4 e5 2. Nc3 Nc6 3. Bc4 Bc5 4. Qg4 Qf6 5. Nd5 Qxf2+ 6. Kd1 Bb6 7. Qxg7 Nd4 8. Nh3 Qh4 9. Qxh8 Kf8 10. Qxe5 Qg4+ 11. Ke1 Nxc2+,Kf1 Qd1#,r1b2kn1/pppp1p1p/1b6/3NQ3/2B1P1q1/7N/PPnP2PP/R1B1K2R w - - 0 12,e1f1 g4d1,['g4d1'],"{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: True, 14: False, 15: True}"
086wp,1798,1. e3 e5 2. h3 d5 3. a3 Nc6 4. Bb5 Bd7 5. Bxc6 Bxc6 6. d3 Nf6 7. Nf3 Bd6 8. Nc3 O-O 9. O-O h6 10. Re1 e4 11. dxe4 dxe4 12. Nd4 Bd7 13. b4 c5 14. bxc5 Bxc5 15. Bb2 Qb6 16. Rb1 Rad8 17. Nce2 Nd5 18. c4 Ne7 19. Qc2 Rfe8 20. Qxe4 Nf5 21. Qc2 Nxd4 22. Bxd4 Qc6 23. Bxc5 Qxc5 24. Qc3 b6 25. Ng3 Bc6 26. Ra1 b5 27. Rec1 bxc4,Qxc4 Rd1+ Kh2 Qxc4 Rxc4 Rxa1,3rr1k1/p4pp1/2b4p/2q5/2p5/P1Q1P1NP/5PP1/R1R3K1 w - - 0 28,c3c4 d8d1 g1h2 c5c4 c1c4 d1a1,"['d8d1', 'g1h2', 'c5c4', 'c1c4', 'd1a1']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True}"
08HOd,2118,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 d6 5. Nxd4 Nf6 6. Nc3 Be7 7. Bg5 O-O 8. Nxc6 bxc6 9. O-O Bg4 10. Qd2 h6 11. Be3 Be6 12. Be2 a6 13. h3 Nh7 14. f4 f5 15. exf5 Bxf5 16. Bd3 Bxd3 17. Qxd3 Nf6 18. Qg6 d5 19. f5 Ne4 20. Bxh6 Bf6 21. Nxe4 dxe4 22. Rad1 Qe8 23. Qg3 Kh7 24. Be3 Rf7 25. Qg6+ Kg8 26. Qg3 Rd7 27. Rxd7 Qxd7 28. Rf4 Qd1+ 29. Kh2 Qxc2 30. Rg4 Rd8 31. Bh6,Rd7 Bxg7 Rxg7 Rxg7+ Bxg7 f6,3r2k1/2p3p1/p1p2b1B/5P2/4p1R1/6QP/PPq3PK/8 b - - 3 31,d8d7 h6g7 d7g7 g4g7 f6g7 f5f6,"['h6g7', 'd7g7', 'g4g7', 'f6g7', 'f5f6']","{0: False, 1: False, 2: False, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: True, 14: True, 15: True}"
08rZN,1070,1. b4 e6 2. Bb2 Nf6 3. a3 d5 4. e3 b6 5. c4 Bb7 6. Nf3 Be7 7. Nc3 Nbd7 8. Be2 dxc4 9. Bxc4 O-O 10. O-O c5 11. bxc5 Rc8 12. Be2 Nxc5 13. d4 Nce4 14. Nxe4 Nxe4 15. Rc1 Qd7 16. Ne5 Qe8 17. Qd3 Bd6 18. Rxc8 Qxc8 19. Rc1 Qe8 20. Nc4 Bxh2+ 21. Kxh2 Nxf2 22. Qd2 Qb8+ 23. Kg1 Qg3 24. Bf3,Bxf3 Qxf2 Qxf2+ Kxf2,5rk1/pb3ppp/1p2p3/8/2NP4/P3PBq1/1B1Q1nP1/2R3K1 b - - 5 24,b7f3 d2f2 g3f2 g1f2,"['d2f2', 'g3f2', 'g1f2']","{0: False, 1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
08y42,2199,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. d3 d6 6. Bg5 Bg4 7. h3 Bh5 8. Nd5 Nd4 9. g4 c6 10. Nxf6+ gxf6 11. Bh4 d5 12. Nxd4 dxc4 13. Nf5 Bg6 14. dxc4 Bxf5 15. gxf5 Qa5+ 16. c3 Be7 17. Qh5 Qa6 18. b3 Qa5 19. Kd2 O-O-O+ 20. Kc2 Qa3 21. Qxf7 Rhf8 22. Qh5 b5 23. cxb5 cxb5 24. Qe2 a6 25. Rhd1 b4,Rxd8+ Rxd8 c4 Bc5 Bxf6 Bd4,2kr1r2/4b2p/p4p2/4pP2/1p2P2B/qPP4P/P1K1QP2/R2R4 w - - 0 26,d1d8 f8d8 c3c4 e7c5 h4f6 c5d4,"['f8d8', 'c3c4', 'e7c5', 'h4f6', 'c5d4']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True}"
09DE4,1589,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nxc6 bxc6 6. Bc4 Nf6 7. Nc3 Bb4 8. Bg5 h6 9. Bxf6 Qxf6 10. O-O Bxc3 11. bxc3 O-O 12. Qd2 Rd8 13. f4 Bb7 14. fxe5 Qxe5 15. Bxf7+ Kh8 16. Bg6 d5 17. Qf4 Qxc3 18. exd5 cxd5 19. Rab1 Qc6 20. Rf2 Ba6 21. Qf5 Bc4 22. Re1 d4 23. Re7 Qd6 24. Rb7 Rf8 25. Bf7 Rae8 26. g3,Bd5 Qxd5 Re1+ Kg2,4rr1k/pR3Bp1/3q3p/5Q2/2bp4/6P1/P1P2R1P/6K1 b - - 0 26,c4d5 f5d5 e8e1 g1g2,"['f5d5', 'e8e1', 'g1g2']","{0: False, 1: False, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
09M1j,1164,1. d4 Nf6 2. c4 c6 3. Nc3 d5 4. cxd5 cxd5 5. Bf4 Nc6 6. Rc1 e6 7. e3 Bd6 8. Bxd6 Qxd6 9. Bb5 O-O 10. Bxc6 bxc6 11. Nge2 Ba6 12. O-O Rab8 13. Na4 Ne4 14. b3 h6 15. f3 Nf6 16. Rc2 e5 17. Nc5 Bc8 18. dxe5 Qxe5 19. Qc1 Re8 20. Rc3 Nh5 21. Nd4 Qd6 22. Na4 Bd7 23. Nxc6 Bxc6 24. Rxc6 Qe5 25. Re1 d4 26. e4 Nf4 27. Nb2 Rbd8 28. Rc2 d3 29. Rd2 Ne2+ 30. Rexe2 dxe2 31. Rxe2 Rc8 32. Nc4 Qd4+ 33. Kf1 Qd3 34. Ke1 Red8 35. Rd2 Qxd2+ 36. Qxd2 Rxd2 37. Kxd2 Rd8+ 38. Kc2 g5 39. b4 Rc8 40. Kc3 Kg7 41. a4 h5 42. b5 Kg6 43. Kb4 f6 44. a5 g4 45. b6 axb6 46. axb6 Kg5 47. Kb5 gxf3 48. gxf3 Kf4 49. Nd2 Ke3 50. Nc4+ Kxf3 51. b7 Rb8 52. Nd6 Rxb7+ 53. Nxb7 Kxe4 54. Kc4 f5 55. Nc5+ Ke3 56. Kd5 f4 57. Ke5 f3 58. Ne4 f2 59. Nxf2 Kxf2 60. Kf5 h4 61. Kg4,Kg2 h3 Kf2 Kxh4 Kf3 Kg5,8/8/8/8/6Kp/8/5k1P/8 b - - 1 61,f2g2 h2h3 g2f2 g4h4 f2f3 h4g5,"['h2h3', 'g2f2', 'g4h4', 'f2f3', 'h4g5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True}"
09Sj8,1038,1. Nc3 d5 2. d4 e6 3. Nf3 c5 4. e3 Nc6 5. dxc5 Nf6 6. Bb5 Bxc5 7. Bxc6+ bxc6 8. O-O h6 9. Ne5 Bb7 10. Ne2 O-O 11. c4 Nd7 12. Nxd7 Qxd7 13. cxd5 cxd5 14. Bd2 Rab8 15. Bc3 Ba6 16. Re1 Bb4 17. Bxb4 Rxb4 18. b3 Rc8 19. Rc1 Bxe2 20. Rxe2 a5 21. Rec2 Rxc2 22. Rxc2 g6 23. Qc1 Rb8 24. Rc5 Qa7 25. Rc7 Qb6 26. h3 a4 27. bxa4 Qb4 28. Ra7 Kg7 29. Qc7 Rf8 30. Qe5+ Kg8 31. Kh2 Qb1 32. a3 Qb3 33. Qd6 Qb2 34. Kg3 h5 35. Qb4 Qe5+ 36. Qf4 Qc3 37. Qb4 Qe5+ 38. Kf3 Qf5+ 39. Ke2 Qc2+ 40. Qd2 Qc4+ 41. Qd3 Qa2+ 42. Kf3 e5 43. Qc3 Re8 44. a5 g5 45. Qc7 e4+ 46. Kg3 h4+ 47. Kg4 Qxf2 48. Kxg5 f6+ 49. Kg6 Qxg2+,Kh6 Qg5#,4r1k1/R1Q5/5pK1/P2p4/4p2p/P3P2P/6q1/8 w - - 0 50,g6h6 g2g5,['g2g5'],"{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
09ULx,1060,1. e4 d6 2. Nf3 Nf6 3. Bc4 Nxe4 4. O-O d5 5. Bb5+ c6 6. Bd3 Bg4 7. Re1 e6 8. Bxe4 dxe4 9. Rxe4 Bf5 10. Rd4 Nd7 11. d3 Bc5 12. Rc4 O-O 13. d4 b5 14. Rc3 Bb4 15. Re3 a5 16. c3 Bd6 17. Nbd2 Qc7 18. Nf1 Bg4 19. Ng3 Nf6 20. h3 Bxf3 21. Rxf3 Nd5 22. Qe2 Rae8 23. Bd2 e5 24. Qd1 exd4 25. cxd4 g6 26. Bh6 a4 27. Bxf8 Bxf8 28. Qc2 Qd6 29. Qd3 Nb4 30. Qd2 Bg7 31. a3 Nd5 32. Rd1 f5 33. Ne2 Kf7 34. Nf4 Bh6 35. g3 Bxf4 36. gxf4 Re4 37. Re1 Qe6 38. Rxe4 fxe4 39. Rg3 Qf5 40. Rg4 h5 41. Rg5 Qxf4 42. Qxf4+ Nxf4,h4 Nh3+ Kf1 Nxg5,8/5k2/2p3p1/1p4Rp/p2Ppn2/P6P/1P3P2/6K1 w - - 0 43,h3h4 f4h3 g1f1 h3g5,"['f4h3', 'g1f1', 'h3g5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True}"
09ol7,1700,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Qc2 e6 5. Bg5 Be7 6. e3 Nbd7 7. Nc3 O-O 8. a3 a6 9. Rd1 dxc4 10. Bxc4 b5 11. Ba2 c5 12. Bb1 cxd4 13. Rxd4 g6 14. O-O Bb7 15. Ne5 Qe8 16. Nxd7 Nxd7 17. Bh6 Bf6 18. Rd2 Bg7 19. Bxg7 Kxg7 20. Rfd1 Nf6 21. Qd3 Qe7 22. Qd4 Kg8 23. Qh4 Rad8 24. h3 Rxd2 25. Rxd2 Rd8 26. Rd4 Rxd4 27. Qxd4 Nd5 28. Ne4 Qc7,Nc5 e5 Qe4 Qxc5,6k1/1bq2p1p/p3p1p1/1p1n4/3QN3/P3P2P/1P3PP1/1B4K1 w - - 3 29,e4c5 e6e5 d4e4 c7c5,"['e6e5', 'd4e4', 'c7c5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: True, 15: True}"
09vsw,2372,1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7 4. O-O a6 5. Bc4 Ngf6 6. Re1 g6 7. d4 cxd4 8. Nxd4 Bg7 9. Nc3 O-O 10. Bg5 h6 11. Bxf6 Nxf6 12. a3 b5 13. Bd5 Nxd5 14. exd5 Bb7 15. Nc6 Bxc6 16. dxc6 e6 17. Qf3 Qc7 18. Rad1 d5 19. Ne2 Qxc6 20. c3 Rfd8 21. Nd4 Bxd4 22. Rxd4 Ra7 23. Qf6 Qd7 24. Rg4 Kh7 25. Re3 Qe7 26. Qd4 Rc7 27. b3 Qxa3 28. h4 Qxb3 29. h5,Rc4 hxg6+ fxg6 Qa7+ Kh8 Rh3 Qd1+ Kh2 Rxg4 Rxh6+,3r4/2r2p1k/p3p1pp/1p1p3P/3Q2R1/1qP1R3/5PP1/6K1 b - - 0 29,c7c4 h5g6 f7g6 d4a7 h7h8 e3h3 b3d1 g1h2 c4g4 h3h6,"['h5g6', 'f7g6', 'd4a7', 'h7h8', 'e3h3', 'b3d1', 'g1h2', 'c4g4', 'h3h6']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: True}"
09yh3,997,1. e4 c5 2. Nf3 g6 3. Nc3 Bg7 4. Bc4 Nc6 5. d3 e6 6. O-O Nge7 7. h3 h6 8. Re1 O-O 9. a3 d5 10. exd5 exd5 11. Ba2 Rb8 12. Rb1 b5 13. Bf4 Rb7 14. Qd2 b4 15. Na4 Qa5 16. Bb3 c4 17. dxc4 dxc4 18. axb4 Qxb4 19. Qxb4 Rxb4 20. Bd2 cxb3 21. Bxb4 bxc2 22. Rbc1 Nxb4 23. Rxe7 Bf5 24. Ne1 Rc8 25. Nc3 Bxc3 26. bxc3 Rxc3 27. Rxa7 Rb3 28. Nxc2 Nxc2 29. Ra4 Nb4 30. Ra8+ Kg7 31. Rb8 Nd3 32. Rxb3 Nxc1 33. Ra3 Ne2+ 34. Kh2 Nd4 35. g4 Be6 36. Kg3 Nc6 37. Ra8 Ne7 38. f3 g5 39. Ra5 Ng6 40. Ra4 Nh4 41. f4 Bd7 42. Ra5 Ng6 43. fxg5 hxg5 44. Rxg5 Kf6 45. Ra5 Kg7 46. h4 Bc6 47. h5 Ne7 48. Kf4 Bd5 49. Ke5 Be6,g5 Nc6+ Ke4 Nxa5,8/4npk1/4b3/R3K2P/6P1/8/8/8 w - - 5 50,g4g5 e7c6 e5e4 c6a5,"['e7c6', 'e5e4', 'c6a5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True}"
0A1eV,1235,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Ba5 6. d4 exd4 7. O-O Nge7 8. Qb3 O-O 9. cxd4 Bb6 10. Bd2 d6 11. Nc3 Nxd4 12. Nxd4 Bxd4 13. Rad1 c5 14. Nd5 Nxd5 15. Bxd5 Be6 16. Bxe6 fxe6 17. Qxe6+ Kh8 18. Qb3 b6 19. Be3 Be5 20. f4 Bd4 21. Bxd4 cxd4 22. Rxd4 Qh4 23. Qf3 Rad8 24. g3 Qf6 25. e5 dxe5 26. Rxd8 Rxd8 27. fxe5 Qxf3 28. Rxf3 Rd1+ 29. Kg2 g6 30. Re3 Kg8 31. Kf3 Kf7 32. g4 Ke6 33. h4 Rd5 34. Kf4 h6 35. g5 h5 36. a4 Rd4+ 37. Re4 Rd1 38. Ke3 Re1+ 39. Kd4 Rxe4+ 40. Kxe4 a6 41. Kd4 b5,axb5 axb5 Ke4 b4 Kd4 b3 Kc3 Kxe5,8/8/p3k1p1/1p2P1Pp/P2K3P/8/8/8 w - - 0 42,a4b5 a6b5 d4e4 b5b4 e4d4 b4b3 d4c3 e6e5,"['a6b5', 'd4e4', 'b5b4', 'e4d4', 'b4b3', 'd4c3', 'e6e5']","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True}"
